ID;Category;ServiceName;Price
c0000001-0001-4000-8000-000000000001;Washing;Full Wash;400.00
c0000001-0001-4000-8000-000000000002;Washing;Half Wash;150.00
c0000001-0001-4000-8000-000000000003;Washing;Top Wash;130.00
c0000001-0001-4000-8000-000000000004;Washing;Water Wash;200.00
c0000001-0001-4000-8000-000000000005;Washing;Deseil Wash;160.00
c0000001-0001-4000-8000-000000000006;Washing;Oil Spare;85.00
c0000001-0001-4000-8000-000000000007;Washing;Washing & Gressing;350.00
c0000001-0001-4000-8000-000000000008;Interior;Full Interior Cleaning;350.00
c0000001-0001-4000-8000-000000000009;Interior;Seat Cleaning;200.00
c0000001-0001-4000-8000-000000000010;Interior;Fabric Cleaning;250.00
c0000001-0001-4000-8000-000000000011;Interior;Top-Floor Cleaning;180.00
c0000001-0001-4000-8000-000000000012;Coating;Polymer Coating;900.00
c0000001-0001-4000-8000-000000000013;Coating;Synthetic Coating;1100.00
c0000001-0001-4000-8000-000000000014;Coating;Teflon Paint Protection;1300.00
c0000001-0001-4000-8000-000000000015;Coating;Ceramic Coating;2200.00
c0000001-0001-4000-8000-000000000016;Coating;Under Body Protection;950.00
c0000001-0001-4000-8000-000000000017;Coating;Glass Coating;700.00
c0000001-0001-4000-8000-000000000018;Coating;Cutting Polish;750.00
c0000001-0001-4000-8000-000000000019;Coating;PPF;2700.00
c0000001-0001-4000-8000-000000000020;Detailing;Premium Detailing;1800.00
